,Стоимость,Тип продажи,Объект продажи,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Лифт пассажирский (кол-во),Лифт грузовой (кол-во),Мусоропровод,Парковка,Количество комнат,Тип дома,Высота потолков,Кол-во раздельных санузлов,Вид из окон,Расстояние до метро,Округ,Район
32424,9976752,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,52.62,25.9,10.0,17,17,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.72,2.0,На улицу и двор,2 мин. на транспорте,ЮВАО,район Люблино
33000,13580530,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,51.0,,,19,19,1.0,1.0,Нет,подземная,1.0,Монолитный,3.25,,,9 мин. пешком,СВАО,район Алексеевский
6603,4184600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.6,42.3,9.7,6,17,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,,1.0,,,Богородский городской округ,Ногинск
25326,12001970,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.1,23.5,20.6,2,15,1.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,На улицу и двор,6 мин. на транспорте,ЗАО,район Можайский
8271,21374500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,108.5,64.3,15.3,18,53,1.0,0.0,Нет,подземная,4.0,Монолитный,,1.0,,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
27896,2730525,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,37.15,15.6,10.3,17,17,1.0,0.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,23 мин. на транспорте,Домодедово городской округ,с. Домодедово
19838,11700000,", Возможна ипотека",Новостройка,37.0,,,10,21,1.0,1.0,Нет,подземная,1.0,Монолитный,3.1,,На улицу,9 мин. пешком,САО,район Беговой
13192,9435667,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,86.4,51.5,13.9,3,16,1.0,1.0,Нет,подземная,3.0,Монолитный,3.12,0.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
26752,9342792,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.47,,,3,20,2.0,1.0,Нет,подземная,,Монолитный,3.0,1.0,Во двор,2 мин. на транспорте,САО,район Хорошевский
29213,8110710,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,39.7,12.1,17.7,2,25,1.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.7,0.0,Во двор,2 мин. на транспорте,ЮАО,район Орехово-Борисово Южное
35023,4900000,"Свободная продажа, Возможна ипотека",Вторичка,40.0,20.0,9.8,10,17,1.0,1.0,Да,,1.0,Панельный,2.7,0.0,На улицу и двор,20 мин. на транспорте,Балашиха,микрорайон Железнодорожный (Центральный)
28770,3000000,", Возможна ипотека",Новостройка,47.8,27.1,7.2,7,17,2.0,2.0,Нет,,2.0,Кирпичный,,,На улицу и двор,,Раменский городской округ,д. Островцы
4968,12545353,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,63.0,39.7,7.1,8,24,1.0,2.0,Нет,Неизвестно,3.0,Монолитный,2.8,2.0,На улицу и двор,2 мин. пешком,САО,район Западное Дегунино
14125,11123781,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.6,13.3,28.2,11,20,1.0,0.0,Нет,подземная,1.0,Монолитный,,0.0,,11 мин. пешком,СВАО,район Свиблово
20282,5527890,", Возможна ипотека",Новостройка,40.8,15.0,10.0,4,22,,,Нет,,1.0,Монолитный,,,Во двор,13 мин. пешком,САО,район Дмитровский
26418,5600000,"Свободная продажа, Возможна ипотека",Вторичка,50.0,39.2,10.0,1,9,0.0,0.0,Да,Наземная,2.0,Монолитный,,0.0,Во двор,20 мин. на транспорте,Наро-Фоминский городской округ,Апрелевка
20079,4447950,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,39.0,13.0,14.4,8,25,2.0,1.0,Нет,,1.0,Монолитный,,0.0,,19 мин. на транспорте,Одинцово,Северная улица
2192,7050570,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,59.7,30.6,12.8,1,9,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.65,2.0,На улицу,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
31976,11339957,", Возможна ипотека",Новостройка,53.3,20.1,13.1,9,24,1.0,1.0,Нет,подземная,1.0,Монолитный,,1.0,,4 мин. на транспорте,ЗАО,район Крылатское
7322,8125440,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,73.6,42.0,13.0,2,24,2.0,2.0,Нет,Неизвестно,3.0,Панельный,2.65,2.0,На улицу и двор,11 мин. пешком,НАО (Новомосковский),Внуковское поселение
21200,12092371,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,76.9,33.7,20.3,17,24,2.0,1.0,Нет,Неизвестно,3.0,Монолитный,2.7,2.0,На улицу и двор,3 мин. на транспорте,СЗАО,район Митино
487,3640000,", Возможна ипотека",Новостройка,55.6,19.0,17.0,9,9,1.0,1.0,Нет,подземная,1.0,Монолитный,,,На улицу,20 мин. на транспорте,Ленинский городской округ,Измайлово рп
5063,14363268,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,80.7,48.4,9.7,10,24,1.0,2.0,Нет,Неизвестно,3.0,Монолитный,2.8,2.0,На улицу и двор,2 мин. пешком,САО,район Западное Дегунино
21713,10063493,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,41.52,36.9,,12,25,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,0.0,,2 мин. пешком,СВАО,район Ростокино
29029,11575080,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,79.2,46.1,13.3,4,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,12 мин. на транспорте,СВАО,район Ярославский
33483,6130000,", Возможна ипотека",Новостройка,33.06,15.6,11.0,8,16,1.0,1.0,Нет,подземная,1.0,Монолитный,,,На улицу,5 мин. пешком,ЗАО,район Солнцево
35958,11186000,"Свободная продажа, Возможна ипотека",Новостройка,131.6,83.3,17.0,1,8,1.0,1.0,Нет,подземная,3.0,Монолитный,,0.0,,18 мин. на транспорте,Красногорск городской округ,пос. Ильинское-Усово
7837,4585050,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,66.45,32.9,19.9,6,6,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,3.0,1.0,На улицу,12 мин. на транспорте,Балашиха,микрорайон Балашиха-1
13515,9164180,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,38.2,14.0,12.7,18,28,1.0,2.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
27451,7347114,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.4,13.6,19.3,20,23,1.0,0.0,Нет,подземная,1.0,Монолитный,,1.0,,7 мин. пешком,ЗАО,район Ново-Переделкино
1763,9546540,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,64.2,36.7,12.6,16,25,1.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.65,2.0,На улицу,2 мин. на транспорте,СВАО,район Южное Медведково
11517,9907560,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,45.24,14.0,17.7,17,30,3.0,1.0,Нет,подземная,1.0,Монолитный,,0.0,Во двор,3 мин. пешком,САО,район Ховрино
8247,8027000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.8,,,7,24,2.0,1.0,Нет,Наземная,3.0,Монолитный,,,,5 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
32989,11215680,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,51.0,,,3,19,1.0,1.0,Нет,подземная,1.0,Монолитный,3.25,,,9 мин. пешком,СВАО,район Алексеевский
35815,9778023,"Свободная продажа, Возможна ипотека",Новостройка,86.3,,,18,41,1.0,1.0,Нет,подземная,2.0,Монолитный,,,,7 мин. на транспорте,Химки,микрорайон Старые Химки
28741,4466560,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,79.76,,,16,17,1.0,1.0,Нет,,3.0,Монолитный,,,,24 мин. на транспорте,Щелково,улица Жегаловская
34585,14402400,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,70.6,23.1,26.4,10,22,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,5 мин. на транспорте,СЗАО,район Хорошево-Мневники
14222,3960000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,66.0,37.8,10.9,12,12,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,54 мин. на транспорте,Одинцовский городской округ,Звенигород
27535,12444000,"Свободная продажа, Возможна ипотека",Новостройка,40.8,15.0,16.0,23,24,1.0,1.0,Нет,подземная,1.0,Монолитный,4.0,0.0,Во двор,5 мин. пешком,САО,район Хорошевский
28576,7148640,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.2,21.0,21.4,12,25,1.0,2.0,Нет,Неизвестно,2.0,Панельный,2.7,2.0,На улицу,5 мин. на транспорте,ЗАО,район Кунцево
5980,14836220,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,67.05,49.5,,2,23,1.0,1.0,Нет,подземная,3.0,Монолитный,,0.0,,4 мин. пешком,СВАО,район Свиблово
7734,12762400,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.8,31.0,18.8,24,30,2.0,1.0,Нет,Неизвестно,3.0,Монолитный,2.7,2.0,На улицу и двор,,ЮВАО,район Рязанский
6887,9928968,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,76.4,48.3,7.1,4,16,1.0,1.0,Нет,подземная,3.0,Монолитный,2.85,1.0,Во двор,26 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
29463,9250000,", Возможна ипотека",Новостройка,46.2,14.4,17.4,16,22,,,Нет,,1.0,Монолитный,,,,4 мин. на транспорте,СЗАО,район Хорошево-Мневники
36686,7278132,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,39.38,,,13,19,2.0,1.0,Нет,подземная,1.0,Монолитный,,,,4 мин. на транспорте,ЗАО,район Солнцево
