,Стоимость,Тип продажи,Объект продажи,Общая площадь,Жилая площадь,Площадь кухни,Этаж,Этажей в доме,Лифт пассажирский (кол-во),Лифт грузовой (кол-во),Мусоропровод,Парковка,Количество комнат,Тип дома,Высота потолков,Кол-во раздельных санузлов,Вид из окон,Расстояние до метро,Округ,Район
6456,23193390,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,115.39,,,2,55,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,7 мин. пешком,ЦАО,район Пресненский
30682,5910000,,Новостройка,63.53,31.1,16.9,5,17,1.0,1.0,Нет,,2.0,Кирпичный,,1.0,На улицу и двор,5 мин. на транспорте,Мытищи,микрорайон Перловка
13476,8725000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.8,30.7,26.1,9,21,2.0,1.0,Нет,Наземная,2.0,Монолитный,,0.0,,5 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
28582,7088200,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.7,13.3,19.1,11,33,2.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.63,0.0,Во двор,2 мин. на транспорте,Красногорск,улица Видная
34062,5737100,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.7,29.3,11.2,13,25,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,6 мин. на транспорте,Котельники,южный мкр
14386,3285000,", Возможна ипотека",Новостройка,36.5,14.3,9.3,11,17,,,Нет,,1.0,Монолитный,,,,12 мин. на транспорте,Балашиха,микрорайон Железнодорожный (Ольгино)
19078,5800000,"Свободная продажа, Возможна ипотека",Вторичка,68.0,33.0,14.0,3,12,1.0,1.0,Да,,2.0,Монолитный,2.75,1.0,Во двор,,Солнечногорск городской округ,д. Голубое
11533,10136748,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,47.86,15.0,21.6,28,30,3.0,1.0,Нет,подземная,1.0,Монолитный,,0.0,Во двор,3 мин. пешком,САО,район Ховрино
27425,10773200,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,46.84,,,7,28,2.0,1.0,Нет,Неизвестно,1.0,Монолитный,3.0,0.0,На улицу,13 мин. пешком,ЗАО,район Филевский парк
9587,10318600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.3,,19.0,37,39,1.0,1.0,Нет,подземная,2.0,Монолитный,2.95,1.0,Во двор,2 мин. на транспорте,ВАО,район Гольяново
18845,8630820,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.9,33.5,22.9,8,8,1.0,1.0,Нет,подземная,2.0,Монолитный,3.19,1.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
7412,9011070,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,53.1,19.9,19.6,13,16,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.7,2.0,На улицу,2 мин. на транспорте,ЮАО,район Орехово-Борисово Южное
5911,12392805,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,92.83,48.0,22.2,9,31,2.0,3.0,Нет,подземная,3.0,Монолитный,,0.0,,4 мин. на транспорте,ЮВАО,район Марьино
22788,7870000,", Возможна ипотека",Новостройка,56.8,28.3,11.3,2,11,1.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,На улицу,15 мин. пешком,НАО (Новомосковский),Внуковское поселение
25050,12463004,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,66.81,,,8,23,1.0,1.0,Нет,подземная,3.0,Монолитный,,,,9 мин. пешком,ЮАО,район Москворечье-Сабурово
26517,12204360,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,66.8,37.7,11.8,14,16,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,2.7,0.0,На улицу и двор,2 мин. на транспорте,ЮАО,район Орехово-Борисово Южное
31668,6893880,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,39.62,16.6,8.8,2,19,1.0,1.0,Нет,подземная,1.0,Монолитный,3.0,,,2 мин. на транспорте,ВАО,район Измайлово
14559,7210000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,85.2,37.3,22.4,8,14,1.0,1.0,Нет,,3.0,Монолитный,,1.0,,13 мин. на транспорте,Ленинский городской округ,д. Сапроново
27799,19211712,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,71.6,46.2,5.4,7,22,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,3.15,0.0,На улицу и двор,10 мин. пешком,ЗАО,район Кунцево
17179,3265020,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,19.8,9.4,5.1,14,14,1.0,1.0,Нет,Неизвестно,,Панельный,2.65,0.0,На улицу,7 мин. пешком,Люберцы,микрорайон Городок Б
33039,16336030,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,72.38,,,7,19,1.0,1.0,Нет,подземная,2.0,Монолитный,3.25,,,9 мин. пешком,СВАО,район Алексеевский
11408,13445600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.6,30.0,17.8,28,30,2.0,1.0,Нет,подземная,2.0,Монолитный,,0.0,Во двор,5 мин. пешком,ЮВАО,район Южнопортовый
275,7930650,"Свободная продажа, Возможна ипотека",Новостройка,95.55,60.0,13.8,17,17,1.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,Во двор,22 мин. на транспорте,Котельники,южный мкр
13613,9866740,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.4,,,21,21,1.0,2.0,Нет,подземная,2.0,Монолитный,,,,10 мин. пешком,САО,район Войковский
32476,11637090,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,87.3,44.6,19.6,13,16,1.0,1.0,Нет,Неизвестно,3.0,Панельный,2.68,2.0,На улицу и двор,6 мин. на транспорте,ЮВАО,район Люблино
34777,8816222,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,35.9,21.7,,15,18,1.0,0.0,Нет,подземная,,Монолитный,,0.0,,2 мин. на транспорте,ЗАО,район Можайский
26310,7850000,", Возможна ипотека",Новостройка,40.0,12.0,18.0,12,25,1.0,1.0,Нет,подземная,1.0,Монолитный,,,Во двор,19 мин. пешком,ЮАО,район Орехово-Борисово Южное
10840,5204980,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,40.1,12.1,17.7,8,15,1.0,1.0,Нет,Неизвестно,1.0,Панельный,2.77,0.0,Во двор,8 мин. на транспорте,Ленинский городской округ,Дрожжино рп
23300,27673500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,97.1,55.8,5.4,19,22,1.0,1.0,Нет,Неизвестно,4.0,Монолитный,3.15,0.0,На улицу и двор,10 мин. пешком,ЗАО,район Кунцево
25523,9309177,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,63.54,29.8,10.0,19,24,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,3.1,0.0,На улицу,2 мин. на транспорте,СВАО,район Лосиноостровский
16383,19549826,"Свободная продажа, Возможна ипотека",Вторичка,72.89,26.4,27.9,2,19,1.0,1.0,Нет,,2.0,Монолитный,,0.0,Во двор,20 мин. пешком,ЗАО,район Можайский
4215,5923680,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,57.4,22.5,20.3,4,25,1.0,2.0,Нет,Неизвестно,2.0,Панельный,2.9,2.0,На улицу,7 мин. на транспорте,Мытищи,микрорайон Ярославский
15774,6966540,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,37.8,,,1,28,1.0,2.0,Нет,подземная,2.0,Монолитный,,,,10 мин. пешком,САО,район Войковский
6210,4078000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,37.94,17.3,14.5,1,4,0.0,0.0,Нет,Неизвестно,1.0,Кирпичный,,0.0,,,Наро-Фоминский городской округ,Апрелевка
25532,14122137,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,96.59,57.1,15.3,20,24,1.0,1.0,Нет,Неизвестно,4.0,Монолитный,3.1,0.0,На улицу и двор,2 мин. на транспорте,СВАО,район Лосиноостровский
14405,2586505,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,20.5,8.9,5.0,3,25,1.0,0.0,Нет,Наземная,1.0,Монолитный,,0.0,,23 мин. на транспорте,Одинцово,Западная улица
31977,20395229,", Возможна ипотека",Новостройка,96.5,55.7,14.8,12,24,1.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,,4 мин. на транспорте,ЗАО,район Крылатское
21673,9658480,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,41.18,36.9,,3,25,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,0.0,,2 мин. пешком,СВАО,район Ростокино
4283,9059360,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,65.6,27.4,22.7,16,33,2.0,2.0,Нет,Неизвестно,2.0,Монолитный,0.0,2.0,Во двор,2 мин. на транспорте,ЮВАО,район Рязанский
25312,2614400,"Свободная продажа, Возможна ипотека",Новостройка,34.4,17.9,9.0,8,13,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,,1.0,На улицу,,Богородский городской округ,Ногинск
19307,3734550,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,38.7,14.8,13.2,14,17,1.0,0.0,Нет,подземная,1.0,Монолитный,,0.0,,9 мин. на транспорте,Мытищи,проспект Астрахова
37293,4601390,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,39.0,15.8,,3,7,1.0,1.0,Нет,подземная,1.0,Монолитный,,0.0,,21 мин. на транспорте,НАО (Новомосковский),Марушкинское поселение
16611,20501080,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,129.1,72.0,25.1,8,18,1.0,2.0,Нет,Неизвестно,4.0,Монолитный,3.0,3.0,На улицу и двор,2 мин. на транспорте,СВАО,район Останкинский
9826,10368631,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,62.9,,15.0,3,5,1.0,1.0,Нет,подземная,2.0,Монолитный,2.95,1.0,На улицу,2 мин. на транспорте,ВАО,район Гольяново
14456,4051950,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,33.1,9.7,13.0,10,25,1.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.78,0.0,Во двор,8 мин. на транспорте,Красногорск,микрорайон Чернево
5019,11274480,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.0,35.5,6.0,20,24,1.0,2.0,Нет,Неизвестно,3.0,Монолитный,2.8,2.0,На улицу и двор,2 мин. пешком,САО,район Западное Дегунино
9342,19503712,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,99.2,54.0,14.8,3,25,1.0,1.0,Нет,подземная,3.0,Монолитный,3.1,1.0,На улицу и двор,14 мин. пешком,ЗАО,район Раменки
3847,14599000,"Альтернатива, Возможна ипотека",Вторичка,72.0,52.0,10.0,1,5,,,Нет,,3.0,Кирпичный,,1.0,Во двор,15 мин. пешком,ЦАО,район Пресненский
35304,4750000,"Свободная продажа, Возможна ипотека",Вторичка,69.0,47.0,6.0,1,4,,,Нет,,3.0,,,1.0,Во двор,30 мин. на транспорте,Ивантеевка,улица Адмирала Жильцова
16247,6146942,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.0,28.5,11.1,25,25,1.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.78,1.0,На улицу,8 мин. на транспорте,Красногорск,микрорайон Чернево
22777,19195980,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,92.6,42.5,22.5,12,22,2.0,1.0,Нет,Неизвестно,3.0,Панельный,2.75,0.0,На улицу и двор,6 мин. пешком,ЗАО,район Кунцево
7746,10617600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.3,23.0,20.1,28,30,2.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.7,2.0,На улицу,,ЮВАО,район Рязанский
31337,8474600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,78.9,43.2,,17,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
7428,7200000,", Возможна ипотека",Новостройка,46.0,13.1,20.3,15,33,,,Нет,,1.0,Монолитный,,,Во двор,3 мин. пешком,ЮЗАО,район Южное Бутово
35749,13428800,"Свободная продажа, Возможна ипотека",Новостройка,119.9,,,2,41,1.0,1.0,Нет,подземная,3.0,Монолитный,,,,7 мин. на транспорте,Химки,микрорайон Старые Химки
31406,8660700,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,81.4,43.2,,14,22,1.0,0.0,Нет,подземная,3.0,Монолитный,,,,6 мин. на транспорте,НАО (Новомосковский),Родниковая улица
9501,7963803,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,38.9,,15.0,21,27,1.0,1.0,Нет,подземная,1.0,Монолитный,2.95,0.0,Во двор,2 мин. на транспорте,ВАО,район Гольяново
5453,9046544,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.12,25.3,13.2,7,18,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,2 мин. на транспорте,ЮВАО,район Марьино
34707,9669933,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.6,12.9,26.3,21,24,2.0,2.0,Нет,Неизвестно,1.0,Монолитный,,1.0,,2 мин. на транспорте,ВАО,район Метрогородок
10492,19881775,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,112.01,62.6,18.5,2,11,1.0,1.0,Нет,Неизвестно,4.0,Монолитный,3.0,3.0,На улицу и двор,2 мин. на транспорте,СВАО,район Останкинский
9580,9571000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.3,19.6,13.3,20,20,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,3.1,0.0,Во двор,2 мин. на транспорте,ЮВАО,район Текстильщики
3955,4930362,", Возможна ипотека",Новостройка,44.2,13.9,18.7,6,17,1.0,1.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,3 мин. на транспорте,Люберцы,микрорайон Люберцы 2015 2018
25930,18530880,", Возможна ипотека",Новостройка,77.6,30.7,14.2,4,21,1.0,0.0,Нет,подземная,2.0,Монолитный,,0.0,,7 мин. пешком,ЗАО,район Раменки
25475,6526975,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,28.69,16.3,,13,25,1.0,0.0,Нет,подземная,,Монолитный,,0.0,,3 мин. на транспорте,СЗАО,район Щукино
36863,21578658,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,96.91,38.5,26.8,6,20,1.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,,13 мин. пешком,ЮАО,район Даниловский
5159,14035280,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,70.6,38.7,15.3,2,23,1.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.85,0.0,На улицу,10 мин. пешком,ЮВАО,район Лефортово
34689,19317150,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,94.23,,,11,11,1.0,1.0,Нет,подземная,3.0,Монолитный,,,На улицу и двор,3 мин. пешком,САО,район Западное Дегунино
29341,3386600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,57.4,30.0,11.2,15,17,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,,Богородский городской округ,Ногинск
12099,7770404,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,35.6,,12.0,13,21,1.0,2.0,Нет,подземная,1.0,Монолитный,,,,10 мин. пешком,САО,район Войковский
26622,9129536,"Свободная продажа, Возможна ипотека",Новостройка,56.89,28.4,11.3,32,33,1.0,0.0,Нет,подземная,2.0,Монолитный,,1.0,,3 мин. на транспорте,Одинцовский городской округ,д. Раздоры
25211,5523667,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.0,36.8,9.4,2,8,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,8 мин. на транспорте,Ленинский городской округ,пос. Совхоза имени Ленина
3906,5638454,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,50.1,23.2,12.7,23,32,2.0,1.0,Нет,подземная,2.0,Монолитный,,1.0,,3 мин. на транспорте,Одинцовский городской округ,д. Раздоры
27934,9583000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,27.38,15.0,4.4,6,10,1.0,0.0,Нет,подземная,,Монолитный,,0.0,,14 мин. пешком,ЮАО,район Даниловский
23736,8707570,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,39.1,14.9,11.8,12,21,1.0,1.0,Нет,подземная,2.0,Монолитный,3.0,1.0,,12 мин. пешком,СЗАО,район Хорошево-Мневники
9569,12797254,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,68.2,,,26,37,1.0,1.0,Нет,подземная,2.0,Монолитный,2.95,1.0,,2 мин. на транспорте,ВАО,район Гольяново
29006,9585660,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.9,33.1,11.8,19,22,1.0,0.0,Нет,подземная,2.0,Монолитный,,,,12 мин. на транспорте,СВАО,район Ярославский
7819,8471750,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,51.5,24.0,13.7,14,30,2.0,1.0,Нет,Неизвестно,2.0,Монолитный,2.7,2.0,На улицу,,ЮВАО,район Рязанский
30608,1800000,,Новостройка,25.0,16.0,5.0,6,9,,,Нет,,1.0,Монолитный,,,Во двор,18 мин. на транспорте,Мытищи городской округ,Пироговская Ривьера ЖК
18108,7011000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,61.5,35.8,11.2,13,25,1.0,0.0,Нет,подземная,2.0,Монолитный,2.8,,,13 мин. на транспорте,Одинцово,улица Чистяковой
4004,4490000,", Возможна ипотека",Новостройка,34.0,10.0,14.0,13,17,,,Нет,,1.0,Монолитный,,,Во двор,3 мин. на транспорте,Люберцы,микрорайон Люберцы 2015 2018
28178,11555760,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.1,26.4,17.9,7,21,1.0,1.0,Нет,подземная,2.0,Монолитный,3.0,1.0,,12 мин. пешком,СЗАО,район Хорошево-Мневники
4085,5510728,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,49.0,27.2,5.6,6,8,1.0,1.0,Нет,Наземная,2.0,Монолитный,,0.0,,17 мин. на транспорте,Химки,микрорайон Клязьма-Старбеево
22537,14900000,", Возможна ипотека",Новостройка,64.0,,12.2,10,19,2.0,2.0,Нет,,2.0,Монолитный,,,Во двор,8 мин. пешком,СВАО,район Алексеевский
8253,8750000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,70.0,43.7,10.5,19,24,2.0,1.0,Нет,Наземная,3.0,Монолитный,,0.0,,5 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
24167,12126624,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,52.66,21.9,16.3,20,39,1.0,0.0,Нет,подземная,1.0,Монолитный,3.1,0.0,,2 мин. на транспорте,ЗАО,район Раменки
1913,7696120,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,36.2,9.8,17.8,23,24,1.0,2.0,Нет,Неизвестно,1.0,Панельный,2.65,0.0,Во двор,3 мин. на транспорте,СВАО,район Отрадное
5251,5513040,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,27.9,19.6,,8,22,1.0,0.0,Нет,подземная,,Монолитный,,0.0,Во двор,2 мин. на транспорте,ЮВАО,район Марьино
23496,9805600,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,41.2,13.8,11.0,11,21,1.0,1.0,Нет,подземная,1.0,Монолитный,3.0,0.0,,12 мин. пешком,СЗАО,район Хорошево-Мневники
31686,20000000,", Возможна ипотека",Новостройка,100.0,53.3,14.9,23,23,1.0,1.0,Нет,подземная,3.0,Кирпичный,,0.0,,3 мин. на транспорте,ЗАО,район Раменки
35656,9591263,"Свободная продажа, Возможна ипотека",Новостройка,89.0,39.2,14.9,2,37,1.0,0.0,Нет,подземная,3.0,Монолитный,,1.0,,7 мин. на транспорте,Химки,микрорайон Старые Химки
22854,8497751,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,60.2,,,6,15,1.0,0.0,Нет,подземная,2.0,Монолитный,,,,4 мин. на транспорте,Красногорск городской округ,пос. Отрадное
10183,9266400,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,46.8,14.1,17.3,7,22,1.0,0.0,Нет,Неизвестно,1.0,Монолитный,,0.0,,5 мин. на транспорте,СЗАО,район Хорошево-Мневники
14446,3797268,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,31.7,13.0,8.0,3,25,1.0,2.0,Нет,Неизвестно,1.0,Монолитный,2.78,0.0,Во двор,8 мин. на транспорте,Красногорск,микрорайон Чернево
29271,3750000,", Возможна ипотека",Новостройка,19.97,,,5,12,,,Нет,,,Монолитный,,,Во двор,11 мин. на транспорте,НАО (Новомосковский),Сосенское поселение
10976,8278662,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,59.5,32.5,11.4,13,16,1.0,1.0,Нет,подземная,2.0,Монолитный,2.89,0.0,Во двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
28562,25167885,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,78.5,36.2,19.9,20,20,1.0,0.0,Нет,подземная,2.0,Монолитный,,,,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
17448,8289680,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,90.4,39.8,20.5,20,25,2.0,2.0,Нет,Неизвестно,3.0,Панельный,2.64,0.0,На улицу и двор,2 мин. на транспорте,Люберцы,Люберцы Парк ЖК
21847,9215000,"Свободная продажа, Возможна ипотека",Новостройка,61.1,22.4,,1,16,1.0,0.0,Нет,подземная,1.0,Монолитный,,0.0,,2 мин. на транспорте,СВАО,район Бабушкинский
2974,7423138,", Возможна ипотека",Новостройка,56.5,31.3,14.6,19,23,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,,0.0,,12 мин. пешком,ЮВАО,район Некрасовка
29654,4180350,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,43.5,26.7,5.0,4,22,1.0,0.0,Нет,подземная,2.0,Монолитный,,,,3 мин. на транспорте,Мытищи городской округ,пос. Нагорное
11905,6920640,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,64.8,42.8,13.5,4,33,2.0,2.0,Нет,Неизвестно,3.0,Монолитный,2.8,2.0,На улицу и двор,3 мин. пешком,Котельники,Опытное поле мкр
11888,6866980,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,64.6,36.5,12.8,11,33,2.0,2.0,Нет,Неизвестно,2.0,Монолитный,2.8,2.0,На улицу,3 мин. пешком,Котельники,Опытное поле мкр
29631,4200000,", Возможна ипотека",Новостройка,62.1,33.6,10.7,2,6,1.0,,Нет,,2.0,Монолитный,,1.0,На улицу и двор,20 мин. на транспорте,Мытищи городской округ,Императорские Мытищи ЖК
26214,5963441,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,64.2,39.5,8.0,5,17,1.0,1.0,Нет,подземная,3.0,Монолитный,,1.0,,9 мин. на транспорте,Мытищи,проспект Астрахова
19151,9610137,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,56.0,24.8,14.2,18,23,2.0,1.0,Нет,подземная,2.0,Монолитный,3.11,0.0,,8 мин. пешком,ЮВАО,район Рязанский
12231,2374400,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.4,,,2,16,1.0,0.0,Нет,Неизвестно,1.0,Монолитный,,,,,Лосино-Петровский городской округ,Свердловский рп
12439,16269375,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,87.86,52.0,13.6,2,10,1.0,0.0,Нет,подземная,3.0,Монолитный,,1.0,Во двор,,ЗАО,район Можайский
34701,9972529,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,54.2,30.1,8.8,22,24,2.0,2.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,2 мин. на транспорте,ВАО,район Метрогородок
27247,4423081,Долевое участие (214-ФЗ),Новостройка,38.5,17.1,,5,8,1.0,0.0,Нет,Неизвестно,1.0,Монолитный,,,,,Красногорск,микрорайон Опалиха
37154,5952310,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,55.6,23.2,14.4,19,25,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,1.0,,4 мин. на транспорте,Красногорск городской округ,д. Путилково
5367,6141824,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,36.91,14.0,12.5,16,22,1.0,0.0,Нет,подземная,1.0,Монолитный,,0.0,Во двор,2 мин. на транспорте,ЮВАО,район Марьино
28589,4325400,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,27.0,12.7,6.9,9,25,1.0,2.0,Нет,Неизвестно,,Панельный,2.7,0.0,Во двор,5 мин. на транспорте,ЗАО,район Кунцево
198,9729000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,103.5,42.3,25.5,15,24,1.0,0.0,Нет,Наземная,3.0,Монолитный,2.8,1.0,,13 мин. на транспорте,Балашиха,микрорайон 28-й
27997,8774000,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.8,18.0,15.8,29,48,1.0,0.0,Нет,подземная,1.0,Монолитный,,0.0,,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
25996,4293500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,31.0,,,12,15,1.0,0.0,Нет,,,Монолитный,,,,6 мин. на транспорте,ЗАО,район Можайский
13032,15884923,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,50.9,15.8,18.9,34,51,2.0,2.0,Нет,Неизвестно,1.0,Монолитный,3.0,0.0,Во двор,14 мин. пешком,ЗАО,район Раменки
8037,4951845,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,64.73,31.5,14.9,17,17,1.0,1.0,Нет,Неизвестно,2.0,Монолитный,3.0,1.0,На улицу,12 мин. на транспорте,Балашиха,микрорайон Железнодорожный (Саввино)
28007,10434500,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,50.9,26.4,13.0,19,48,1.0,0.0,Нет,подземная,2.0,Монолитный,,0.0,,3 мин. на транспорте,СЗАО,район Хорошево-Мневники
19998,9168139,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,81.03,44.3,,23,24,1.0,0.0,Нет,,3.0,Монолитный,,1.0,,21 мин. на транспорте,Одинцово,Северная улица
2194,8390460,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,69.4,35.6,17.8,4,9,1.0,1.0,Нет,Неизвестно,3.0,Монолитный,2.65,2.0,На улицу и двор,3 мин. на транспорте,НАО (Новомосковский),пос. Коммунарка
29638,6996690,"Свободная продажа, Возможна ипотека",Новостройка,57.8,,,6,17,1.0,1.0,Нет,Наземная,2.0,Панельный,,,,9 мин. пешком,ЮВАО,район Некрасовка
24376,5297880,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,58.8,30.8,15.0,3,15,1.0,1.0,Нет,Неизвестно,2.0,Панельный,2.66,2.0,На улицу,6 мин. на транспорте,Балашиха,улица Реутовская
21738,10530623,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.05,36.9,,18,25,1.0,0.0,Нет,Неизвестно,2.0,Монолитный,,0.0,,2 мин. пешком,СВАО,район Ростокино
4451,3546400,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,42.71,16.0,19.0,4,4,0.0,0.0,Нет,Неизвестно,1.0,Кирпичный,,0.0,,,Наро-Фоминский городской округ,Апрелевка
27381,12580560,"Долевое участие (214-ФЗ), Возможна ипотека",Новостройка,62.28,,,4,28,2.0,1.0,Нет,Неизвестно,1.0,Монолитный,3.0,0.0,На улицу,13 мин. пешком,ЗАО,район Филевский парк
